723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,160,160,160,160,160,160,160,160,160,160,160,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,160,160,69,160,160,160,160,160,160,160,160,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,160,160,160,160,160,160,160,160,160,160,160,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,160,160,160,160,160,160,160,160,160,160,160,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,160,160,160,160,160,160,160,160,160,160,160,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,160,160,160,160,160,160,160,160,160,160,160,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,190,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723
